HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
9141,RSC,25.823692,71.330605,Approved,Bishala,North,Bishala,RAJASTHAN,TRUE,344011,Bishala,India
9021,SC,26.320954,73.084545,Approved,JOD/CITY,North,Jodhpur,RAJASTHAN,TRUE,342027,Gayatri Nagar,India
9547,SC,26.91346,75.72921,Approved,JAI/VSH/HV,North,Jaipur,RAJASTHAN,TRUE,302021,Panchyawala,India
9548,RVP,26.91346,75.72921,Approved,JAI/VSH/RP,North,Jaipur,RAJASTHAN,TRUE,302021,Panchyawala,India
9551,SC,26.970096,76.786972,Approved,BLJ/BLJ/HV,North,Balaji,RAJASTHAN,TRUE,303509,Balaji,India
9552,RVP,26.970096,76.786972,Approved,BLJ/BLJ/RP,North,Balaji,RAJASTHAN,TRUE,303509,Balaji,India
4253,RSC,25.49448,71.08223,Approved,chohtan,North,Chohtan,RAJASTHAN,TRUE,344702,,India
4607,SC,22.79,88.68,Approved,BST/HBR-TML,East,Barasat,WEST BENGAL,TRUE,743271,CCU/HBR-TML,India
4892,SC,22.48,88.45,Approved,CCU/SONARPUR-TML,East,Kolkata,WEST BENGAL,TRUE,700150,CCU/SONARPUR-TML,India
5192,SC,22.592561,88.410014,Approved,Siliguri-TML,East,SILIGURI,WEST BENGAL,TRUE,734013,SITM,India
1820,SC,23.9087551,87.5253213,Approved,Suri,East,Suri,WEST BENGAL,TRUE,731101,SURI,India
1119,RSC,27,78,Approved,Dalkhola,East,DALKHOLA,WEST BENGAL,TRUE,733201,RSC/Dalkhola,India
4662,RSC,22.1709,88.3919,Approved,Mathurapur,East,Mathurapur,WEST BENGAL,TRUE,743395,,India
551,RSC,21.76,71.67,Approved,RSC/Burdwan,East,Burdwan,WEST BENGAL,TRUE,713103,RSC/Burdwan,India
2325,RSC,22.069,87.8255,Approved,Chandipur,East,MIDNAPORE,WEST BENGAL,TRUE,721659,RSC/Chandipur,India
2754,RSC,23.8122,87.3612,Approved,Dubrajpur,East,DUBRAJPUR,WEST BENGAL,TRUE,731123,,India
3043,RSC,26.7031,88.2169,Approved,Naxalbari,East,NAXALBARI,WEST BENGAL,TRUE,734429,,India
3054,RSC,23.1389,87.668,Approved,Indas,East,INDAS,WEST BENGAL,TRUE,722205,,India
3064,RSC,23.0042,88.3142,Approved,Mogra,East,MOGRA,WEST BENGAL,TRUE,904866,,India
3162,RSC,23.311674,86.958786,Approved,Chhatan,East,Bankura,WEST BENGAL,TRUE,722132,,India
3253,RSC,22.208,88.5372,Approved,Joynagar,East,JOYNAGAR,WEST BENGAL,TRUE,743337,,India
3255,RSC,22.257,88.6916,Approved,Canning1,East,Canning,WEST BENGAL,TRUE,743329,,India
3311,RSC,22.9203,88.2656,Approved,Dhaniakhali,East,MAJINAN,WEST BENGAL,TRUE,712410,,India
3571,RSC,26.9639,88.3531,Approved,Rambi Bazar,East,RAMBI BAZAR,WEST BENGAL,TRUE,734313,,India
